Order Date,Ship Date,QB Num,P. O. #,Name,Qty(-),Qty(+),Item,Inventory Site,Remark
9/20/2024,3/7/2025,POD-241087,SO-20241050,Neousys Technology Incorp.,0,40,Win10IoT21-Value,WH01X-NTA,SO24090347
9/20/2024,3/21/2025,POD-241088,SO-20241051,Neousys Technology Incorp.,0,40,Win10IoT21-Value,WH01X-NTA,SO24090348
9/20/2024,2/4/2025,POD-241085,SO-20241048,Neousys Technology Incorp.,0,40,Win10IoT21-Value,WH01X-NTA,SO24090345
9/20/2024,2/21/2025,POD-241086,SO-20241049,Neousys Technology Incorp.,0,40,Win10IoT21-Value,WH01X-NTA,SO24090346
9/20/2024,1/23/2025,POD-241084,SO-20241047,Neousys Technology Incorp.,0,30,Win10IoT21-Value,WH01X-NTA,SO24090344
9/20/2024,1/10/2025,POD-241083,SO-20241046,Neousys Technology Incorp.,0,40,Win10IoT21-Value,WH01X-NTA,SO24090343
9/19/2024,5/26/2025,SO-20241055,15069,Tek84 Inc.,40,0,Win10IoT21-Value,WH01X-NTA,
9/19/2024,5/12/2025,SO-20241054,15069,Tek84 Inc.,40,0,Win10IoT21-Value,WH01X-NTA,
9/19/2024,4/28/2025,SO-20241053,15069,Tek84 Inc.,40,0,Win10IoT21-Value,WH01X-NTA,
9/19/2024,4/9/2025,SO-20241052,15069,Tek84 Inc.,40,0,Win10IoT21-Value,WH01X-NTA,
9/19/2024,3/31/2025,SO-20241051,15069,Tek84 Inc.,40,0,Win10IoT21-Value,WH01X-NTA,
9/19/2024,3/17/2025,SO-20241050,15069,Tek84 Inc.,40,0,Win10IoT21-Value,WH01X-NTA,
9/19/2024,3/3/2025,SO-20241049,15069,Tek84 Inc.,40,0,Win10IoT21-Value,WH01X-NTA,
9/19/2024,2/14/2025,SO-20241048,15069,Tek84 Inc.,40,0,Win10IoT21-Value,WH01X-NTA,
11/27/2024,2/14/2025,SO-20241418,41441969,Inficon Inc.,45,0,Win10IoT21-Value,WH01X-NTA,
9/19/2024,1/31/2025,SO-20241047,15069,Tek84 Inc.,30,0,Win10IoT21-Value,WH01X-NTA,
9/19/2024,1/20/2025,SO-20241046,15069,Tek84 Inc.,40,0,Win10IoT21-Value,WH01X-NTA,
11/27/2024,1/17/2025,SO-20241417,41441969,Inficon Inc.,45,0,Win10IoT21-Value,WH01X-NTA,
11/11/2024,1/3/2025,SO-20241334,41451090,Inficon Inc.,50,0,Win10IoT19-Value,WH01X-NTA,
7/4/2024,1/7/2025,POD-240772,SO-20240755,Neousys Technology Incorp.,0,25,Win10IoT19-Entry,WH01X-NTA,SO24070082
7/3/2024,1/27/2025,SO-20240755,15657,Automated Environments,25,0,Win10IoT19-Entry,WH01X-NTA,
7/3/2024,1/10/2025,SO-20240754,15657,Automated Environments,25,0,Win10IoT19-Entry,WH01X-NTA,
11/27/2024,2/14/2025,SO-20241418,41441969,Inficon Inc.,45,0,SSD-512GB-TLC5ET-PN,WH01X-NTA,
11/27/2024,1/17/2025,SO-20241417,41441969,Inficon Inc.,45,0,SSD-512GB-TLC5ET-PN,WH01X-NTA,
11/11/2024,1/3/2025,SO-20241334,41451090,Inficon Inc.,50,0,SSD-1TB-TLC5ET-TD,WH01X-NTA,
4/12/2024,1/9/2025,SO-20240438,PO204048,Noah Medical U.S.,12,0,SSD-1920GB-TLC-IL1,WH01X-NTA,
6/11/2024,3/7/2025,POD-240688,SO-20240674,Neousys Technology Incorp.,0,8,SEMIL-1708-i7OCG9-FF03,WH01X-NTA,SO24060118
6/11/2024,2/7/2025,POD-240689,SO-20240675,Neousys Technology Incorp.,0,10,SEMIL-1708-i7OCG9-FF03,WH01X-NTA,SO24060119
6/11/2024,1/7/2025,POD-240687,SO-20240673,Neousys Technology Incorp.,0,10,SEMIL-1708-i7OCG9-FF03,WH01X-NTA,SO24060117
6/11/2024,3/7/2025,POD-240688,SO-20240674,Neousys Technology Incorp.,0,8,SEMIL-1708-FF,WH01X-NTA,SO24060118
6/11/2024,2/7/2025,POD-240689,SO-20240675,Neousys Technology Incorp.,0,10,SEMIL-1708-FF,WH01X-NTA,SO24060119
6/11/2024,1/7/2025,POD-240687,SO-20240673,Neousys Technology Incorp.,0,10,SEMIL-1708-FF,WH01X-NTA,SO24060117
8/20/2024,3/31/2025,SO-20240922,PO055573,"FireFly Automatix, Inc.",8,0,SEMIL-1708-FF,WH01X-NTA,
6/10/2024,2/28/2025,SO-20240675,PO055573,"FireFly Automatix, Inc.",10,0,SEMIL-1708-FF,WH01X-NTA,
6/10/2024,1/31/2025,SO-20240674,PO055573,"FireFly Automatix, Inc.",10,0,SEMIL-1708-FF,WH01X-NTA,
5/16/2024,3/14/2025,POD-240614,SO-20240572,Neousys Technology Incorp.,0,36,SEMIL-1301-i7OCG9-65W-SIL02-50,WH01X-NTA,SO24050254
5/16/2024,3/14/2025,POD-240614,SO-20240572,Neousys Technology Incorp.,0,36,SEMIL-1301,WH01X-NTA,SO24050254
5/14/2024,3/28/2025,SO-20240572,SIL4-NTA24-02,SIL4 Systems Inc.,36,0,SEMIL-1301,WH01X-NTA,
3/14/2024,2/27/2025,POD-240380,SO-20240315,Neousys Technology Incorp.,0,100,POC-715-XA01-1K,WH01X-NTA,SO24030230
3/14/2024,2/14/2025,POD-240379,SO-20240314,Neousys Technology Incorp.,0,150,POC-715-XA01-1K,WH01X-NTA,SO24030229
6/4/2024,3/28/2025,SO-20240654,QTD_EPS_2406281,Professional Parking Management Corporati,10,0,POC-715-UL,WH01X-NTA,
3/14/2024,2/27/2025,POD-240380,SO-20240315,Neousys Technology Incorp.,0,100,POC-715,WH01X-NTA,SO24030230
3/14/2024,2/14/2025,POD-240379,SO-20240314,Neousys Technology Incorp.,0,150,POC-715,WH01X-NTA,SO24030229
3/13/2024,8/29/2025,SO-20240315,X110992,Xanthon LLC,100,0,POC-715,WH01X-NTA,
3/13/2024,7/25/2025,SO-20240314,X110992,Xanthon LLC,150,0,POC-715,WH01X-NTA,
3/13/2024,6/27/2025,SO-20240313,X110992,Xanthon LLC,150,0,POC-715,WH01X-NTA,
3/13/2024,5/30/2025,SO-20240312,X110992,Xanthon LLC,150,0,POC-715,WH01X-NTA,
3/13/2024,4/25/2025,SO-20240311,X110992,Xanthon LLC,150,0,POC-715,WH01X-NTA,
3/6/2024,3/28/2025,SO-20240258,X110992,Xanthon LLC,150,0,POC-715,WH01X-NTA,
9/5/2024,1/10/2025,SO-20240975,9080091097,"Keysight Technologies, Inc.",18,0,POC-410-MEZ-KS,WH01X-NTA,
