,"Date","Num","Name","Source Name","Memo","Deliv Date","Qty","Rcv'd","Backordered","Amount","Open Balance"
"Inventory",,,,,,,,,,,
"Accessory",,,,,,,,,,,
,"08/19/2025","POD-251183","Uber Technologies, Inc.","Neousys Technology Incorp.","Ant-RP_SMAM-WiFi-196MM1  WiFi Antenna, Swivel type, Frequency: 2.4/5.8 GHz, VSWR: 2.5 : 1 Max, w...","09/17/2025",50,0,50,250.00,250.00
,"08/19/2025","POD-251184","Uber Technologies, Inc.","Neousys Technology Incorp.","Ant-RP_SMAM-WiFi-196MM1  WiFi Antenna, Swivel type, Frequency: 2.4/5.8 GHz, VSWR: 2.5 : 1 Max, w...","09/24/2025",40,0,40,200.00,200.00
,"08/29/2025","POD-251248","Neousys Technology Incorp.","Neousys Technology Incorp.","Ant-RP_SMAM-WiFi-196MM1  WiFi Antenna, Swivel type, Frequency: 2.4/5.8 GHz, VSWR: 2.5 : 1 Max, w...","09/10/2025",50,0,50,250.00,250.00
"Total Ant-RP_SMAM-WiFi-196MM1",,,,,,,304,0,304,1520.00,1520.00
"Ant-SMAM-LTE",,,,,,,,,,,
,"08/19/2025","POD-251179","Uber Technologies, Inc.","Neousys Technology Incorp.","Ant-SMAM-LTE  LTE Antenna- Frequency 698-960, 1710-2170, 2300-2700MHz. VSWR 4.0:1 Max. Polarizat...","09/10/2025",40,0,40,200.00,200.00
,"08/19/2025","POD-251180","Uber Technologies, Inc.","Neousys Technology Incorp.","Ant-SMAM-LTE  LTE Antenna- Frequency 698-960, 1710-2170, 2300-2700MHz. VSWR 4.0:1 Max. Polarizat...","09/17/2025",40,0,40,200.00,200.00
,"08/19/2025","POD-251181","Uber Technologies, Inc.","Neousys Technology Incorp.","Ant-SMAM-LTE  LTE Antenna- Frequency 698-960, 1710-2170, 2300-2700MHz. VSWR 4.0:1 Max. Polarizat...","09/17/2025",40,0,40,200.00,200.00
,"08/19/2025","POD-251182","Uber Technologies, Inc.","Neousys Technology Incorp.","Ant-SMAM-LTE  LTE Antenna- Frequency 698-960, 1710-2170, 2300-2700MHz. VSWR 4.0:1 Max. Polarizat...","09/24/2025",40,0,40,200.00,200.00
,"08/19/2025","POD-251183","Uber Technologies, Inc.","Neousys Technology Incorp.","Ant-SMAM-LTE  LTE Antenna- Frequency 698-960, 1710-2170, 2300-2700MHz. VSWR 4.0:1 Max. Polarizat...","09/17/2025",50,0,50,250.00,250.00
,"08/19/2025","POD-251184","Uber Technologies, Inc.","Neousys Technology Incorp.","Ant-SMAM-LTE  LTE Antenna- Frequency 698-960, 1710-2170, 2300-2700MHz. VSWR 4.0:1 Max. Polarizat...","09/24/2025",40,0,40,200.00,200.00
"Total Ant-SMAM-LTE",,,,,,,250,0,250,1250.00,1250.00
"Cbl-DB9F-3DB9M-15CM2",,,,,,,,,,,
,"07/25/2025","POD-251057","Automated Environments","Neousys Technology Incorp.","Cbl-DB9F-3DB9M-15CM2  1x DB9 (Female) to 3x DB9 (Male), for Nuvo-6000. Industrial Computer Acces...","09/17/2025",25,0,25,250.00,250.00
,"07/25/2025","POD-251058","Automated Environments","Neousys Technology Incorp.","Cbl-DB9F-3DB9M-15CM2  1x DB9 (Female) to 3x DB9 (Male), for Nuvo-6000. Industrial Computer Acces...","09/24/2025",25,0,25,250.00,250.00
,"07/25/2025","POD-251059","Automated Environments","Neousys Technology Incorp.","Cbl-DB9F-3DB9M-15CM2  1x DB9 (Female) to 3x DB9 (Male), for Nuvo-6000. Industrial Computer Acces...","10/22/2025",25,0,25,250.00,250.00
