,"Date","Num","Name","Source Name","Memo","Deliv Date","Qty","Rcv'd","Backordered","Amount","Open Balance"
"Inventory",,,,,,,,,,,
"Accessory",,,,,,,,,,,
,"08/29/2025","POD-251248","Neousys Technology Incorp.","Neousys Technology Incorp.","Gpubr-Nuvo9160-01  Nuvo-9160GC GPU bracket kit for RTX 4000 Ada and RTX A2000.","09/10/2025",5,0,5,25.00,25.00
"Total Gpubr-Nuvo9160-01",,,,,,,5,0,5,25.00,25.00
"mPCIe-M2E",,,,,,,,,,,
,"08/08/2025","POD-251140","Dexterity, Inc.","Neousys Technology Incorp.","mPCIe-M2E  NGFF M.2 key E to mini-PCIe adapter.","10/01/2025",1,0,1,3.00,3.00
,"08/15/2025","POD-251164","Dexterity, Inc.","Neousys Technology Incorp.","mPCIe-M2E  NGFF M.2 key E to mini-PCIe adapter.","10/01/2025",1,0,1,3.00,3.00
,"08/19/2025","POD-251179","Uber Technologies, Inc.","Neousys Technology Incorp.","mPCIe-M2E  NGFF M.2 key E to mini-PCIe adapter. Industrial computer accessory.","09/10/2025",20,0,20,60.00,60.00
,"08/19/2025","POD-251180","Uber Technologies, Inc.","Neousys Technology Incorp.","mPCIe-M2E  NGFF M.2 key E to mini-PCIe adapter. Industrial computer accessory.","09/17/2025",20,0,20,60.00,60.00
,"08/19/2025","POD-251181","Uber Technologies, Inc.","Neousys Technology Incorp.","mPCIe-M2E  NGFF M.2 key E to mini-PCIe adapter. Industrial computer accessory.","09/17/2025",20,0,20,60.00,60.00
,"08/19/2025","POD-251182","Uber Technologies, Inc.","Neousys Technology Incorp.","mPCIe-M2E  NGFF M.2 key E to mini-PCIe adapter. Industrial computer accessory.","09/24/2025",20,0,20,60.00,60.00
,"08/19/2025","POD-251183","Uber Technologies, Inc.","Neousys Technology Incorp.","mPCIe-M2E  NGFF M.2 key E to mini-PCIe adapter. Industrial computer accessory.","09/17/2025",25,0,25,75.00,75.00
,"08/19/2025","POD-251184","Uber Technologies, Inc.","Neousys Technology Incorp.","mPCIe-M2E  NGFF M.2 key E to mini-PCIe adapter. Industrial computer accessory.","09/24/2025",20,0,20,60.00,60.00
,"08/28/2025","POD-251231","Neousys Technology Incorp.","Neousys Technology Incorp.","mPCIe-M2E  NGFF M.2 key E to mini-PCIe adapter.","09/10/2025",10,0,10,30.00,30.00
,"08/28/2025","POD-251233","CoastIPC, Inc.","Neousys Technology Incorp.","mPCIe-M2E  NGFF M.2 key E to mini-PCIe adapter. Industrial computer accessory.","09/18/2025",15,0,15,45.00,45.00
"Total mPCIe-M2E",,,,,,,152,0,152,456.00,456.00
"TB-10",,,,,,,,,,,
,"07/25/2025","POD-251061","Cognex Corporation","Neousys Technology Incorp.","TB-10  SCSI-68 I/O terminal module for MezIO-D220/230. Industrial Computer Accessory.","08/13/2025",5,0,5,145.00,145.00
,"07/25/2025","POD-251062","Cognex Corporation","Neousys Technology Incorp.","TB-10  SCSI-68 I/O terminal module for MezIO-D220/230. Industrial Computer Accessory.","12/24/2025",5,0,5,145.00,145.00
"Total TB-10",,,,,,,10,0,10,290.00,290.00
"TB-3Pole-Push",,,,,,,,,,,
,"07/10/2025","POD-250976","Venture Electronics Services (Malaysia) S","Neousys Technology Incorp.","TB-3Pole-Push  Terminal Block in black with push-in type  MPN: Dinkle 2ESSM-03P","08/29/2025",25,5,20,50.00,40.00
,"07/10/2025","POD-250977","Venture Electronics Services (Malaysia) S","Neousys Technology Incorp.","TB-3Pole-Push  Terminal Block in black with push-in type  MPN: Dinkle 2ESSM-03P","08/29/2025",25,5,20,50.00,40.00
"Total TB-3Pole-Push",,,,,,,50,10,40,100.00,80.00
"Total Accessory",,,,,,,2013,10,2003,12255.00,12235.00
"CPU",,,,,,,,,,,
"7443P-1",,,,,,,,,,,
,"08/08/2025","POD-251140","Dexterity, Inc.","Neousys Technology Incorp.","7443P-1  AMD EPYC™ 7443P Processors (128MB Cache, up to 4.0 GHz), TDP:200W CPU, installation and...","10/01/2025",1,0,1,1382.00,1382.00
,"08/15/2025","POD-251164","Dexterity, Inc.","Neousys Technology Incorp.","7443P-1  AMD EPYC™ 7443P Processors (128MB Cache, up to 4.0 GHz), TDP:200W CPU, installation and...","10/01/2025",1,0,1,1382.00,1382.00
"Total 7443P-1",,,,,,,2,0,2,2764.00,2764.00
"E-2278GE",,,,,,,,,,,
,"08/18/2025","POD-251172","Neousys Technology Incorp.","Neousys Technology Incorp.","E-2278GE  Intel® Xeon® E-2278GE Processor  Intel® UHD Graphics 630, 16MB, 3.30~4.40 GHz, 8-Cores...","08/27/2025",5,0,5,2565.00,2565.00
,"08/18/2025","POD-251173","Navico Group Americas LLC","Neousys Technology Incorp.","E-2278GE  Intel® Xeon® E-2278GE Processor  Intel® UHD Graphics 630, 16MB, 3.30~4.40 GHz, 8-Cores...","09/24/2025",1,0,1,513.00,513.00
,"08/28/2025","POD-251229","Neousys Technology Incorp.","Neousys Technology Incorp.","E-2278GE  Intel® Xeon® E-2278GE Processor  Intel® UHD Graphics 630, 16MB, 3.30~4.40 GHz, 8-Cores...","09/12/2025",3,0,3,1539.00,1539.00
"Total E-2278GE",,,,,,,9,0,9,4617.00,4617.00
"FAN-CPU-RM1",,,,,,,,,,,
,"09/12/2025","POD-251314","Provantage LLC","Provantage LLC","FAN-CPU-RM1  Intel® Laminar RM1 Cooler Specifications for Intel® Core Processors 12th, 13th and ...","09/24/2025",6,0,6,0.00,0.00
,"09/17/2025","POD-251334","Newegg Business, Inc.","Newegg Business, Inc.","FAN-CPU-RM1  Intel® Laminar RM1 Cooler Specifications for Intel® Core Processors 12th, 13th and ...","09/24/2025",3,0,3,0.00,0.00
"Total FAN-CPU-RM1",,,,,,,9,0,9,0.00,0.00
"i3-8100T",,,,,,,,,,,
,"09/15/2025","POD-251319","Neousys Technology Incorp.","Neousys Technology Incorp.","i3-8100T  Intel® Core™ i3-8100T Processor (6M Cache, up to 3.10 GHz), TDP:35W CPU, installation ...","09/24/2025",2,0,2,244.00,244.00
"Total i3-8100T",,,,,,,2,0,2,244.00,244.00
"i5-14500",,,,,,,,,,,
,"09/03/2025","POD-251259","CoastIPC, Inc.","Neousys Technology Incorp.","i5-14500  Intel® Core™ i5-14500 Processor (24M Cache, up to 5.00 GHz), TDP:65W CPU, installation...","09/19/2025",13,0,13,3159.00,3159.00
,"09/12/2025","POD-251314","Provantage LLC","Provantage LLC","i5-14500  Intel® Core™ i5-14500 Processor (24M Cache, up to 5.00 GHz), TDP:65W CPU, installation...","09/24/2025",6,0,6,1548.00,1548.00
"Total i5-14500",,,,,,,19,0,19,4707.00,4707.00
"i5-8500T",,,,,,,,,,,
,"09/08/2025","POD-251272","Neousys Technology Incorp.","Neousys Technology Incorp.","i5-8500T  Intel Core i5-8500T Processor (9M Cache, up to 3.50 GHz), TDP:35W CPU, installation an...","09/24/2025",3,0,3,588.00,588.00
"Total i5-8500T",,,,,,,3,0,3,588.00,588.00
"i5-9500E",,,,,,,,,,,
,"08/29/2025","POD-251243","Neousys Technology Incorp.","Neousys Technology Incorp.","i5-9500E  Intel Core i5-9500E Processor (9M Cache, up to 4.20 GHz), TDP:65W CPU, installation an...","09/17/2025",1,0,1,198.00,198.00
"Total i5-9500E",,,,,,,1,0,1,198.00,198.00
"i5-9500TE",,,,,,,,,,,
,"06/19/2025","POD-250884","Tek84 Inc.","Neousys Technology Incorp.","i5-9500TE  Intel® Core™ i5-9500TE Processor (9M Cache, up to 3.60 GHz), TDP:35W CPU, installatio...","10/01/2025",20,0,20,3960.00,3960.00
,"09/11/2025","POD-251301","Neousys Technology Incorp.","Neousys Technology Incorp.","i5-9500TE  Intel® Core™ i5-9500TE Processor (9M Cache, up to 3.60 GHz), TDP:35W CPU, installatio...","09/24/2025",7,0,7,1386.00,1386.00
"Total i5-9500TE",,,,,,,27,0,27,5346.00,5346.00
"i7-12700",,,,,,,,,,,
,"09/17/2025","POD-251334","Newegg Business, Inc.","Newegg Business, Inc.","i7-12700  Intel® Core™ i7-12700 Processor (25M Cache, up to 4.80 GHz), TDP:65W CPU, installation...","09/24/2025",3,0,3,855.00,855.00
"Total i7-12700",,,,,,,3,0,3,855.00,855.00
"i7-14700",,,,,,,,,,,
,"09/12/2025","POD-251308","Candela Technologies Inc.","Neousys Technology Incorp.","i7-14700  Intel® Core™ i7-14700 Processor (33M Cache, up to 5.40 GHz), TDP:65W CPU, installation...","10/01/2025",1,0,1,387.00,387.00
"Total i7-14700",,,,,,,1,0,1,387.00,387.00
"i7-9700E",,,,,,,,,,,
,"06/12/2025","POD-250847","INDUSTRIES MACHINEX INC.","Neousys Technology Incorp.","i7-9700E  Intel Core i7-9700E Processor (12M Cache, up to 4.40 GHz), TDP:65W CPU, installation a...","09/17/2025",20,0,20,6480.00,6480.00
,"08/07/2025","POD-251130","RIOS Intelligent Machines, Inc.","Neousys Technology Incorp.","i7-9700E  Intel Core i7-9700E Processor (12M Cache, up to 4.40 GHz), TDP:65W CPU, installation a...","09/10/2025",1,0,1,324.00,324.00
,"09/08/2025","POD-251273","Neousys Technology Incorp.","Neousys Technology Incorp.","i7-9700E  Intel Core i7-9700E Processor (12M Cache, up to 4.40 GHz), TDP:65W CPU, installation a...","09/16/2025",10,0,10,3240.00,3240.00
,"09/08/2025","POD-251278","INFLEXION POINT, LLC","Neousys Technology Incorp.","i7-9700E  Intel Core i7-9700E Processor (12M Cache, up to 4.40 GHz), TDP:65W CPU, installation a...","09/24/2025",20,0,20,6480.00,6480.00
"Total i7-9700E",,,,,,,51,0,51,16524.00,16524.00
"i7-9700TE",,,,,,,,,,,
,"05/05/2025","POD-250647","Neousys Technology Incorp.","Neousys Technology Incorp.","i7-9700TE  Intel® Core™ i7-9700TE Processor (12M Cache, up to 3.80 GHz), TDP:35W CPU, installati...","09/03/2025",10,0,10,3240.00,3240.00
,"05/05/2025","POD-250648","Neousys Technology Incorp.","Neousys Technology Incorp.","i7-9700TE  Intel® Core™ i7-9700TE Processor (12M Cache, up to 3.80 GHz), TDP:35W CPU, installati...","10/01/2025",10,0,10,3240.00,3240.00
,"05/05/2025","POD-250649","Neousys Technology Incorp.","Neousys Technology Incorp.","i7-9700TE  Intel® Core™ i7-9700TE Processor (12M Cache, up to 3.80 GHz), TDP:35W CPU, installati...","11/05/2025",10,0,10,3240.00,3240.00
,"05/05/2025","POD-250650","Neousys Technology Incorp.","Neousys Technology Incorp.","i7-9700TE  Intel® Core™ i7-9700TE Processor (12M Cache, up to 3.80 GHz), TDP:35W CPU, installati...","12/03/2025",10,0,10,3240.00,3240.00
,"09/15/2025","POD-251317","Neousys Technology Incorp.","Neousys Technology Incorp.","i7-9700TE  Intel® Core™ i7-9700TE Processor (12M Cache, up to 3.80 GHz), TDP:35W CPU, installati...","09/24/2025",5,0,5,1620.00,1620.00
"Total i7-9700TE",,,,,,,45,0,45,14580.00,14580.00
"i9-13900",,,,,,,,,,,
,"07/10/2025","POD-250978","Venture Electronics Services (Malaysia) S","Neousys Technology Incorp.","i9-13900  Intel® Core™ i9-13900 Processor (36M Cache, up to 5.60 GHz), TDP:65W CPU, installation...","09/26/2025",24,0,24,15024.00,15024.00
"Total i9-13900",,,,,,,24,0,24,15024.00,15024.00
"i9-13900E",,,,,,,,,,,
,"09/04/2025","POD-251261","Carnegie Robotics LLC","Neousys Technology Incorp.","i9-13900E  Intel® Core™ i9-13900E Processor (36M Cache, up to 5.20 GHz), TDP:65W CPU, installati...","10/08/2025",3,0,3,1647.00,1647.00
,"09/17/2025","POD-251331","Neousys Technology Incorp.","Neousys Technology Incorp.","i9-13900E  Intel® Core™ i9-13900E Processor (36M Cache, up to 5.20 GHz), TDP:65W CPU, installati...","09/24/2025",5,0,5,2745.00,2745.00
"Total i9-13900E",,,,,,,8,0,8,4392.00,4392.00
"i9-13900TE",,,,,,,,,,,
,"09/11/2025","POD-251299","Neousys Technology Incorp.","Neousys Technology Incorp.","i9-13900TE  Intel® Core™ i9-13900TE Processor (36M Cache, up to 5.00 GHz), TDP:35W CPU, installa...","09/24/2025",1,0,1,549.00,549.00
"Total i9-13900TE",,,,,,,1,0,1,549.00,549.00
"i9-14900",,,,,,,,,,,
,"06/03/2025","POD-250762","Provantage LLC","Provantage LLC","i9-14900  Intel® Core™ i9-14900 Processor (36M Cache, up to 5.80 GHz), TDP:65W CPU, installation...","06/20/2025",14,0,14,7910.00,7910.00
,"08/14/2025","POD-251157","Near Earth Autonomy","Neousys Technology Incorp.","i9-14900  Intel® Core™ i9-14900 Processor (36M Cache, up to 5.80 GHz), TDP:65W CPU, installation...","09/03/2025",1,0,1,545.00,545.00
,"08/21/2025","POD-251191","Near Earth Autonomy",,"i9-14900  Intel® Core™ i9-14900 Processor (36M Cache, up to 5.80 GHz), TDP:65W CPU, installation...","09/10/2025",2,0,2,1090.00,1090.00
,"08/25/2025","POD-251206","Neya Systems","Neousys Technology Incorp.","i9-14900  Intel® Core™ i9-14900 Processor (36M Cache, up to 5.80 GHz), TDP:65W CPU, installation...","09/10/2025",1,0,1,545.00,545.00
,"09/01/2025","POD-251251","US Army Corps of Engineers, ERDC-IEI","Neousys Technology Incorp.","i9-14900  Intel® Core™ i9-14900 Processor (36M Cache, up to 5.80 GHz), TDP:65W CPU, installation...","09/17/2025",2,0,2,1090.00,1090.00
,"09/08/2025","POD-251286","AIM Intelligent Machines","Neousys Technology Incorp.","i9-14900  Intel® Core™ i9-14900 Processor (36M Cache, up to 5.80 GHz), TDP:65W CPU, installation...","10/01/2025",7,0,7,3815.00,3815.00
"Total i9-14900",,,,,,,27,0,27,14995.00,14995.00
"Total CPU",,,,,,,232,0,232,85770.00,85770.00
"Exp- Socket Modem",,,,,,,,,,,
"Risr-M2B-mPCIe-SIMslot",,,,,,,,,,,
,"08/07/2025","POD-251130","RIOS Intelligent Machines, Inc.","Neousys Technology Incorp.","Risr-M2B-mPCIe-SIMslot  NGFF M.2 key B to mini-PCIe adapter include SIM slot for NTA. Carrier Bo...","09/10/2025",1,0,1,14.00,14.00
,"08/19/2025","POD-251179","Uber Technologies, Inc.","Neousys Technology Incorp.","Risr-M2B-mPCIe-SIMslot  NGFF M.2 key B to mini-PCIe adapter include SIM slot for NTA. Carrier Bo...","09/10/2025",20,0,20,280.00,280.00
,"08/19/2025","POD-251180","Uber Technologies, Inc.","Neousys Technology Incorp.","Risr-M2B-mPCIe-SIMslot  NGFF M.2 key B to mini-PCIe adapter include SIM slot for NTA. Carrier Bo...","09/17/2025",20,0,20,280.00,280.00
,"08/19/2025","POD-251181","Uber Technologies, Inc.","Neousys Technology Incorp.","Risr-M2B-mPCIe-SIMslot  NGFF M.2 key B to mini-PCIe adapter include SIM slot for NTA. Carrier Bo...","09/17/2025",20,0,20,280.00,280.00
,"08/19/2025","POD-251182","Uber Technologies, Inc.","Neousys Technology Incorp.","Risr-M2B-mPCIe-SIMslot  NGFF M.2 key B to mini-PCIe adapter include SIM slot for NTA. Carrier Bo...","09/24/2025",20,0,20,280.00,280.00
,"08/19/2025","POD-251183","Uber Technologies, Inc.","Neousys Technology Incorp.","Risr-M2B-mPCIe-SIMslot  NGFF M.2 key B to mini-PCIe adapter include SIM slot for NTA. Carrier Bo...","09/17/2025",25,0,25,350.00,350.00
,"08/19/2025","POD-251184","Uber Technologies, Inc.","Neousys Technology Incorp.","Risr-M2B-mPCIe-SIMslot  NGFF M.2 key B to mini-PCIe adapter include SIM slot for NTA. Carrier Bo...","09/24/2025",20,0,20,280.00,280.00
"Total Risr-M2B-mPCIe-SIMslot",,,,,,,126,0,126,1764.00,1764.00
"Total Exp- Socket Modem",,,,,,,126,0,126,1764.00,1764.00
"Expansion-Module",,,,,,,,,,,
"E-mPCIe-BTWifi-WT-6218_Mod_40CM",,,,,,,,,,,
,"08/07/2025","POD-251129","NASA-Johnson Space Center","Neousys Technology Incorp.","Extnd-mPCIeHS-BTWifi-WT-6218_Mod_Cbl-40CM_kits  (2ANT)mPCIeHS-BTWifi-WT-6218 including Extnd-mPC...","09/24/2025",1,0,1,44.00,44.00
,"08/14/2025","POD-251157","Near Earth Autonomy","Neousys Technology Incorp.","Extnd-mPCIeHS-BTWifi-WT-6218_Mod_Cbl-40CM_kits  (2ANT)mPCIeHS-BTWifi-WT-6218 including Extnd-mPC...","09/03/2025",1,0,1,44.00,44.00
,"08/21/2025","POD-251191","Near Earth Autonomy",,"Extnd-mPCIeHS-BTWifi-WT-6218_Mod_Cbl-40CM_kits  (2ANT)mPCIeHS-BTWifi-WT-6218 including Extnd-mPC...","09/10/2025",2,0,2,88.00,88.00
,"09/03/2025","POD-251259","CoastIPC, Inc.","Neousys Technology Incorp.","Extnd-mPCIeHS-BTWifi-WT-6218_Mod_Cbl-40CM_kits  (2ANT)mPCIeHS-BTWifi-WT-6218 including Extnd-mPC...","09/19/2025",13,0,13,572.00,572.00
"Total E-mPCIe-BTWifi-WT-6218_Mod_40CM",,,,,,,17,0,17,748.00,748.00
"E-mPCIe-GPS-M800_Mod_40CM",,,,,,,,,,,
,"08/07/2025","POD-251129","NASA-Johnson Space Center","Neousys Technology Incorp.","Extnd-mPCIeHS_GPS-M800_Mod_Cbl-40CM_kits  (1ANT)mPCIeHS-GPS-M800 including Extnd-mPCIeHS, Cbl-MH...","09/24/2025",1,0,1,36.00,36.00
"Total E-mPCIe-GPS-M800_Mod_40CM",,,,,,,1,0,1,36.00,36.00
"M.2-LTE-7455",,,,,,,,,,,
,"08/07/2025","POD-251130","RIOS Intelligent Machines, Inc.","Neousys Technology Incorp.","M.2-LTE-7455  Sierra Mini-PCIe LTE M.2 Module EM7455, 4G-LTE module with an integrated GPS and G...","09/10/2025",1,0,1,128.00,128.00
,"08/19/2025","POD-251179","Uber Technologies, Inc.","Neousys Technology Incorp.","M.2-LTE-7455  Sierra Mini-PCIe LTE M.2 Module EM7455, 4G-LTE module with an integrated GPS and G...","09/10/2025",20,0,20,2560.00,2560.00
,"08/19/2025","POD-251180","Uber Technologies, Inc.","Neousys Technology Incorp.","M.2-LTE-7455  Sierra Mini-PCIe LTE M.2 Module EM7455, 4G-LTE module with an integrated GPS and G...","09/17/2025",20,0,20,2560.00,2560.00
,"08/19/2025","POD-251181","Uber Technologies, Inc.","Neousys Technology Incorp.","M.2-LTE-7455  Sierra Mini-PCIe LTE M.2 Module EM7455, 4G-LTE module with an integrated GPS and G...","09/17/2025",20,0,20,2560.00,2560.00
,"08/19/2025","POD-251182","Uber Technologies, Inc.","Neousys Technology Incorp.","M.2-LTE-7455  Sierra Mini-PCIe LTE M.2 Module EM7455, 4G-LTE module with an integrated GPS and G...","09/24/2025",20,0,20,2560.00,2560.00
,"08/19/2025","POD-251183","Uber Technologies, Inc.","Neousys Technology Incorp.","M.2-LTE-7455  Sierra Mini-PCIe LTE M.2 Module EM7455, 4G-LTE module with an integrated GPS and G...","09/17/2025",25,0,25,3200.00,3200.00
,"08/19/2025","POD-251184","Uber Technologies, Inc.","Neousys Technology Incorp.","M.2-LTE-7455  Sierra Mini-PCIe LTE M.2 Module EM7455, 4G-LTE module with an integrated GPS and G...","09/24/2025",20,0,20,2560.00,2560.00
,"09/03/2025","POD-251256","Neousys Technology Incorp.","Neousys Technology Incorp.","M.2-LTE-7455  Sierra Mini-PCIe LTE M.2 Module EM7455, 4G-LTE module with an integrated GPS and G...","09/19/2025",30,0,30,3840.00,3840.00
"Total M.2-LTE-7455",,,,,,,156,0,156,19968.00,19968.00
"M.230-BTWIFI-AX210",,,,,,,,,,,
,"08/19/2025","POD-251179","Uber Technologies, Inc.","Neousys Technology Incorp.","M.230-BTWIFI-AX210  Intel AX210 802.11ac/a/b/d/e/g/h/i/k/n/r/u/v/w/ac/ax WiFi6 + BT5.3 M.2 2230 ...","09/10/2025",20,0,20,680.00,680.00
,"08/19/2025","POD-251180","Uber Technologies, Inc.","Neousys Technology Incorp.","M.230-BTWIFI-AX210  Intel AX210 802.11ac/a/b/d/e/g/h/i/k/n/r/u/v/w/ac/ax WiFi6 + BT5.3 M.2 2230 ...","09/17/2025",20,0,20,680.00,680.00
,"08/19/2025","POD-251181","Uber Technologies, Inc.","Neousys Technology Incorp.","M.230-BTWIFI-AX210  Intel AX210 802.11ac/a/b/d/e/g/h/i/k/n/r/u/v/w/ac/ax WiFi6 + BT5.3 M.2 2230 ...","09/17/2025",20,0,20,680.00,680.00
,"08/19/2025","POD-251182","Uber Technologies, Inc.","Neousys Technology Incorp.","M.230-BTWIFI-AX210  Intel AX210 802.11ac/a/b/d/e/g/h/i/k/n/r/u/v/w/ac/ax WiFi6 + BT5.3 M.2 2230 ...","09/24/2025",20,0,20,680.00,680.00
,"08/19/2025","POD-251183","Uber Technologies, Inc.","Neousys Technology Incorp.","M.230-BTWIFI-AX210  Intel AX210 802.11ac/a/b/d/e/g/h/i/k/n/r/u/v/w/ac/ax WiFi6 + BT5.3 M.2 2230 ...","09/17/2025",25,0,25,850.00,850.00
,"08/19/2025","POD-251184","Uber Technologies, Inc.","Neousys Technology Incorp.","M.230-BTWIFI-AX210  Intel AX210 802.11ac/a/b/d/e/g/h/i/k/n/r/u/v/w/ac/ax WiFi6 + BT5.3 M.2 2230 ...","09/24/2025",20,0,20,680.00,680.00
,"09/17/2025","POD-251333","The Alliance","Neousys Technology Incorp.","M.230-BTWIFI-AX210  Intel AX210 802.11ac/a/b/d/e/g/h/i/k/n/r/u/v/w/ac/ax WiFi6 + BT5.3 M.2 2230 ...","10/01/2025",10,0,10,340.00,340.00
"Total M.230-BTWIFI-AX210",,,,,,,135,0,135,4590.00,4590.00
"M.230-BTWifi-WT-9260",,,,,,,,,,,
,"08/18/2025","POD-251175","Mouser Electronics","Mouser Electronics","M.230-BTWifi-WT-9260  Intel® Wireless-AC 9260, 2230, 2x2 AC+BT, Gigabit, No vPro®, Industrial, E...","08/22/2025",1,0,1,29.92,29.92
"Total M.230-BTWifi-WT-9260",,,,,,,1,0,1,29.92,29.92
"mPCIe-Ado-AX92905",,,,,,,,,,,
,"07/25/2025","POD-251061","Cognex Corporation","Neousys Technology Incorp.","mPCIe-Ado-AX92905  Full Size PCI Express Mini Module with Audio and Half-size PCI Express Mini C...","08/13/2025",5,0,5,170.00,170.00
,"07/25/2025","POD-251061","Cognex Corporation","Neousys Technology Incorp.","mPCIe-Ado-AX92905  Full Size PCI Express Mini Module with Audio and Half-size PCI Express Mini C...","08/13/2025",10,0,10,340.00,340.00
,"07/25/2025","POD-251062","Cognex Corporation","Neousys Technology Incorp.","mPCIe-Ado-AX92905  Full Size PCI Express Mini Module with Audio and Half-size PCI Express Mini C...","12/24/2025",5,0,5,170.00,170.00
,"07/25/2025","POD-251062","Cognex Corporation","Neousys Technology Incorp.","mPCIe-Ado-AX92905  Full Size PCI Express Mini Module with Audio and Half-size PCI Express Mini C...","12/24/2025",5,0,5,170.00,170.00
"Total mPCIe-Ado-AX92905",,,,,,,25,0,25,850.00,850.00
"mPCIe-COM-2RS232-X203",,,,,,,,,,,
,"08/18/2025","POD-251173","Navico Group Americas LLC","Neousys Technology Incorp.","mPCIe-COM-2RS232-X203  Full size mini-PCIe card with 2x RS-232 module.  MPN Innodisk EMP2-X203-W1","09/24/2025",1,0,1,47.00,47.00
"Total mPCIe-COM-2RS232-X203",,,,,,,1,0,1,47.00,47.00
"mPCIe-COM-2RS422/485-X202",,,,,,,,,,,
,"08/14/2025","POD-251157","Near Earth Autonomy","Neousys Technology Incorp.","mPCIe-COM-2RS422/485-X202  Full size miniPCIe card with 2x RS-422/485. Industrial computer acces...","09/03/2025",1,0,1,42.00,42.00
,"08/21/2025","POD-251191","Near Earth Autonomy",,"mPCIe-COM-2RS422/485-X202  Full size miniPCIe card with 2x RS-422/485. Industrial computer acces...","09/10/2025",2,0,2,84.00,84.00
"Total mPCIe-COM-2RS422/485-X202",,,,,,,3,0,3,126.00,126.00
"mPCIe-COM-4RS232/422/485-X404",,,,,,,,,,,
,"09/04/2025","POD-251261","Carnegie Robotics LLC","Neousys Technology Incorp.","mPCIe-COM-4RS232/422/485-X404  Full size miniPCIe card with 4x RS-232/422/485.  MPN: Innodisk EM...","10/08/2025",3,0,3,204.00,204.00
"Total mPCIe-COM-4RS232/422/485-X404",,,,,,,3,0,3,204.00,204.00
"mPCIeHS-BTWifi-WT-6218",,,,,,,,,,,
,"08/29/2025","POD-251244","Neousys Technology Incorp.","Neousys Technology Incorp.","mPCIeHS-BTWifi-WT-6218  802.11ac/a/b/g/n, 2T2R WiFi + BT4.2 half size mini-PCIe module, -40 ~ 85...","09/10/2025",20,0,20,480.00,480.00
"Total mPCIeHS-BTWifi-WT-6218",,,,,,,20,0,20,480.00,480.00
"Total Expansion-Module",,,,,,,362,0,362,27078.92,27078.92
"Expansion-PCIe",,,,,,,,,,,
"Cbl-RAID-9540-4i",,,,,,,,,,,
,"08/08/2025","POD-251140","Dexterity, Inc.","Neousys Technology Incorp.","Cbl-RAID-9540-4i  RAID cable(4i) for 9540-8i","10/01/2025",1,0,1,10.00,10.00
,"08/15/2025","POD-251164","Dexterity, Inc.","Neousys Technology Incorp.","Cbl-RAID-9540-4i  RAID cable(4i) for 9540-8i","10/01/2025",1,0,1,10.00,10.00
"Total Cbl-RAID-9540-4i",,,,,,,2,0,2,20.00,20.00
"mPCIe-DIO-0D01",,,,,,,,,,,
,"07/31/2025","POD-251094","Rheinmetall Canada Inc.","Neousys Technology Incorp.","mPCIe-DIO-0D01  mPCIe to 32bit DIO Module","09/17/2025",1,0,1,37.00,37.00
,"08/14/2025","POD-251157","Near Earth Autonomy","Neousys Technology Incorp.","mPCIe-DIO-0D01  mPCIe to 32bit DIO Module","09/03/2025",1,0,1,37.00,37.00
,"08/20/2025","POD-251188","Centre de technologies avancées BRP- CTA","Neousys Technology Incorp.","mPCIe-DIO-0D01  mPCIe to 32bit DIO Module","09/17/2025",1,0,1,37.00,37.00
,"08/21/2025","POD-251191","Near Earth Autonomy",,"mPCIe-DIO-0D01  mPCIe to 32bit DIO Module","09/10/2025",2,0,2,74.00,74.00
"Total mPCIe-DIO-0D01",,,,,,,5,0,5,185.00,185.00
"Total Expansion-PCIe",,,,,,,7,0,7,205.00,205.00
"Frame Grabber Card",,,,,,,,,,,
"PCIe-10G550X",,,,,,,,,,,
,"08/28/2025","POD-251231","Neousys Technology Incorp.","Neousys Technology Incorp.","PCIe-10G550X  2-port 10GbE Network Adapter","09/10/2025",10,0,10,2250.00,2250.00
,"09/08/2025","POD-251280","CoastIPC, Inc.","Neousys Technology Incorp.","PCIe-10G550X  2-port 10GbE Network Adapter. Industrial Computer Accessory.","10/17/2025",12,0,12,2700.00,2700.00
"Total PCIe-10G550X",,,,,,,22,0,22,4950.00,4950.00
"PCIe-PoE354at-1",,,,,,,,,,,
,"06/12/2025","POD-250847","INDUSTRIES MACHINEX INC.","Neousys Technology Incorp.","PCIe-PoE354at-1  4-Port x4 PCI-E GigE PoE Frame Grabber card with Intel I350-AM4 server-grade co...","09/17/2025",20,0,20,2940.00,2940.00
,"08/08/2025","POD-251140","Dexterity, Inc.","Neousys Technology Incorp.","PCIe-PoE354at-1  4-Port x4 PCI-E GigE PoE Frame Grabber card with Intel I350-AM4 server-grade co...","10/01/2025",1,0,1,147.00,147.00
,"08/15/2025","POD-251164","Dexterity, Inc.","Neousys Technology Incorp.","PCIe-PoE354at-1  4-Port x4 PCI-E GigE PoE Frame Grabber card with Intel I350-AM4 server-grade co...","10/01/2025",1,0,1,147.00,147.00
"Total PCIe-PoE354at-1",,,,,,,22,0,22,3234.00,3234.00
"PCIe-USB380",,,,,,,,,,,
,"08/08/2025","POD-251140","Dexterity, Inc.","Neousys Technology Incorp.","PCIe-USB380  8-Port USB 3.0 host adapter with 4x independent USB 3.0 controllers","10/01/2025",1,0,1,108.00,108.00
